Coin,WithdrawalFieldsAllowed
1CR,0
ABY,0
AC,0
ACH,0
ADN,0
AEON,0
AERO,0
AIR,0
AMP,1
APH,0
ARCH,0
ARDR,1
AUR,0
AXIS,0
BALLS,0
BANK,0
BBL,0
BBR,0
BCC,0
BCH,1
BCN,0
BCY,1
BDC,0
BDG,0
BELA,1
BITCNY,0
BITS,0
BITUSD,0
BLK,1
BLOCK,0
BLU,0
BNS,0
BONES,0
BOST,0
BTC,1
BTCD,1
BTCS,0
BTM,0
BTS,0
BURN,0
BURST,1
C2,0
CACH,0
CAI,0
CC,0
CCN,0
CGA,0
CHA,0
CINNI,0
CLAM,1
CNL,0
CNMT,0
CNOTE,0
COMM,0
CON,0
CORG,0
CRYPT,0
CURE,0
CVC,1
CYC,0
DAO,0
DASH,1
DCR,1
DGB,1
DICE,0
DIEM,0
DIME,0
DIS,0
DNS,0
DOGE,1
DRKC,0
DRM,0
DSH,0
DVK,0
EAC,0
EBT,0
ECC,0
EFL,0
EMC2,1
EMO,0
ENC,0
ETC,1
ETH,1
eTOK,0
EXE,0
EXP,1
FAC,0
FCN,0
FCT,1
FIBRE,0
FLAP,0
FLDC,1
FLO,1
FLT,0
FOX,0
FRAC,0
FRK,0
FRQ,0
FVZ,0
FZ,0
FZN,0
GAME,0
GAP,0
GAS,1
GDN,0
GEMZ,0
GEO,0
GIAR,0
GLB,0
GML,0
GNO,1
GNS,0
GNT,1
GOLD,0
GPC,0
GPUC,0
GRC,0
GRCX,0
GRS,0
GUE,0
H2O,0
HIRO,0
HOT,0
HUC,1
HUGE,0
HVC,0
HYP,0
HZ,0
IFC,0
INDEX,0
IOC,0
ITC,0
IXC,0
JLH,0
JPC,0
JUG,0
KDC,0
KEY,0
LBC,1
LC,0
LCL,0
LEAF,0
LGC,0
LOL,0
LOVE,0
LQD,0
LSK,1
LTBC,0
LTC,1
LTCX,0
MAID,1
MAST,0
MAX,0
MCN,0
MEC,0
METH,0
MIL,0
MIN,0
MINT,0
MMC,0
MMNXT,0
MMXIV,0
MNTA,0
MON,0
MRC,0
MRS,0
MTS,0
MUN,0
MYR,0
MZC,0
N5X,0
NAS,0
NAUT,0
NAV,1
NBT,0
NEOS,0
NL,0
NMC,1
NOBL,0
NOTE,0
NOXT,0
NRS,0
NSR,0
NTX,0
NXC,1
NXT,1
NXTI,0
OMG,1
OMNI,1
OPAL,0
PAND,0
PASC,2
PAWN,0
PIGGY,0
PINK,1
PLX,0
PMC,0
POT,1
PPC,1
PRC,0
PRT,0
PTS,0
Q2C,0
QBK,0
QCN,0
QORA,0
QTL,0
RADS,0
RBY,0
RDD,0
REP,1
RIC,0
RZR,0
SBD,0
SC,0
SDC,0
SHIBE,0
SHOPX,0
SILK,0
SJCX,0
SLR,0
SMC,0
SOC,0
SPA,0
SQL,0
SRCC,0
SRG,0
SSD,0
STEEM,0
STORJ,1
STR,2
STRAT,1
SUM,0
SUN,0
SWARM,0
SXC,0
SYNC,0
SYS,1
TAC,0
TOR,0
TRUST,0
TWE,0
UIS,0
ULTC,0
UNITY,0
URO,0
USDE,0
USDT,1
UTC,0
UTIL,0
UVC,0
VIA,1
VOOT,0
VOX,0
VRC,1
VTC,1
WC,0
WDC,0
WIKI,0
WOLF,0
X13,0
XAI,0
XAP,0
XBC,1
XC,0
XCH,0
XCN,0
XCP,1
XCR,0
XDN,0
XDP,0
XEM,2
XHC,0
XLB,0
XMG,0
XMR,2
XPB,0
XPM,1
XRP,2
XSI,0
XST,0
XSV,0
XUSD,0
XVC,0
XXC,0
YACC,0
YANG,0
YC,0
YIN,0
ZEC,1
ZRX,1
